sep=	
-2.099117900207374265e-01	-7.076227883024577281e-01
4.810588604567305193e-01	2.299537183211898261e-01
1.549459910969464671e+00	1.985751210573210024e-01
2.219987358034768654e+00	2.697131156797232254e-01
1.352612420475911126e+00	-2.298872522628357395e-01
5.295025201703190687e-01	2.502829093983276465e-01
-2.440286260767965398e-01	4.877318557828114742e-01
-1.550024101704859936e+00	7.567079194255735830e-01
-1.277014913169800536e+00	4.253095266929612928e-01
-8.521093333141053217e-01	5.987859306512761659e-01
-4.107955661817576098e-01	1.770858803045364388e-02
-1.583182445445747155e-01	-7.776466107508468451e-01
4.371906000645378598e-01	-6.312347638426496488e-01
3.642765636684867081e-01	-5.438177616082640053e-01
8.029294467447656292e-03	-7.104266546718362996e-02
5.750538580624209306e-01	2.458638492889562432e-01
6.387139272525782507e-01	3.491298610262298929e-01
3.929523732653167345e-01	1.075172251167445081e+00
-6.148464543795588710e-01	8.224441185070323623e-01
4.141382783548036572e-01	1.081842474072306493e+00
-1.957405073269966600e-01	2.862798611592554110e-03
-1.019413111195741628e+00	-3.151045272004056597e-01
-9.108209748536858497e-01	-2.683902008447242027e-02
-6.468305805966459432e-02	-5.250237347033946955e-01
-3.325117669213304428e-01	-1.829613022274236833e-01
3.682047902028401931e-01	-6.297901960421897760e-02
2.704619785365462992e-01	-7.147594286003591812e-02
4.589919911881423786e-02	1.863934243892519105e-01
2.854955166857118809e-01	1.993238830940565753e-01
2.510222017028197472e-01	2.733305618054865382e-01
-1.837717238886550919e-01	5.112884641773329797e-01
-3.006998037338632912e-01	5.216606964160799276e-01
4.741320762045401205e-01	3.709179718300752437e-01
5.119241833285687049e-02	4.005568502938088304e-01
-3.190378514129740828e-01	4.962662405630289264e-01
-5.526505599214353026e-01	-1.814479679332618445e-01
5.519049017722209571e-01	-6.308727581526338835e-01
-1.256200778790832751e-01	-2.599132952238754624e-01
9.497478581648843843e-03	-3.082739261447998702e-01
-5.815863257138925713e-03	1.500502642563558142e-01
-1.788600599670314706e-01	-4.205243417173341047e-01
7.275389150556116347e-02	6.168421782105280027e-01
-6.882029377618742449e-01	2.734823409071030498e-01
-9.091307622469499972e-01	-1.554971675696208977e-01
-2.176909413701184903e-01	-2.235651451648341115e-01
-1.888016600773355924e-01	-4.600756568733651575e-01
6.485526670740934252e-01	-8.270805155889124904e-01
3.210223790583713877e-01	-5.988292458564071774e-01
2.822317430063789323e-01	-1.685988350395076218e-02
9.311925551811370272e-02	-7.339120644247274505e-01
3.075709914227714448e-01	2.735443237763321433e-01
-2.827721616756824208e-01	1.075018087476937445e-01
4.296472559489263876e-01	2.763625192172196599e-01
-1.511310748080049032e-02	2.778187059221973731e-01
-2.211781071448619684e-01	-4.398957837286537886e-01
2.973984358969473663e-01	1.423596167720354577e-01
8.533591305755688916e-02	-2.796983941523876749e-01
-4.561020234095487097e-02	-1.405846276029412700e-01
-1.983846567488231072e-01	-2.459404720999508465e-01
2.141200743369538195e-02	-3.158486238689217629e-02
2.275446646392955130e-01	-1.436675897479736813e-02
-2.430163418167348155e-01	-3.879465674207733805e-01
-1.533103706729387894e-01	7.907948928807124744e-01
5.176100981109296173e-01	-2.106435800909988165e-01
5.513419238406938039e-01	3.222060928134095059e-01
6.716717501091240550e-02	1.809383981856233503e-01
1.322986835265995975e-01	-1.643301265878677753e-01
4.909290887058546937e-02	-6.869846428125964133e-02
-3.233895318122129159e-02	-2.367833782921461294e-01
-2.090079262352482758e-01	3.505942529202192848e-01
-1.784279260216335705e-01	-3.573337612804579622e-01
3.165548681337088111e-02	-2.814294413287693475e-02
-2.226592240144029955e-01	5.300817518439385756e-01
-6.478553403373344954e-01	-2.769952882671177230e-01
1.848519606041719998e-01	2.551743435822141359e-01
-5.239541575241041249e-02	6.276946217692017660e-01
3.452974032498395268e-02	3.186374895889199088e-01
-6.920698456043834768e-02	-2.340671648231184426e-02
-4.920729358917619867e-01	7.157777877056555049e-02
9.735316724685964818e-02	2.898303866220544034e-01
-5.174999841632664799e-01	-1.836784153027781197e-01
-2.194237337576076530e-01	1.000478945830291511e-01
1.541643186160187862e-01	2.190460889795114163e-01
